track_id,track_name,popularity,duration_ms,explicit,album_name,album_release_date,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_names
0yZOIfLr0rMlmFwelSxy4W,Rock Steady,34,169893,False,Studio 1,2006-11-13,album,0.625,0.93,9,-3.405,0,0.0646,0.00982,2.05e-05,0.42,0.768,137.015,4,All Saints
2qLMf6TuEC3ruGJg4SMMN6,Lucky,68,189613,False,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),2008-05-01,album,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,"Jason Mraz, Colbie Caillat"
3PRGcLvFKBGcG5LMer7rn7,All About Us,56,180960,False,Dangerous and Moving,2005-01-01,album,0.492,0.888,7,-4.631,0,0.0343,0.426,2.56e-06,0.316,0.793,162.137,4,t.A.T.u.
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,77,204000,False,Let Go,2002-06-04,album,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,4,Avril Lavigne
3cUjzpF5qD1M3jXx01GrSU,Life in Technicolor ii,39,245099,False,Viva La Vida (Prospekt's March Edition),2008-11-24,album,0.472,0.909,9,-7.073,1,0.0391,0.00158,5.16e-05,0.248,0.278,131.051,4,Coldplay
4FxnX8pFxZwZj5SXOmeUzj,Ecstasy,32,248680,False,Seven Years,2005-06-13,album,0.658,0.852,8,-7.188,0,0.0376,0.112,0.609,0.0957,0.927,129.982,4,ATB
5hultE7GeExA3RkTvtsear,Rewind,51,333000,False,Born to Do It,2000-08-14,album,0.894,0.792,11,-8.292,0,0.149,0.119,0.00161,0.206,0.758,130.022,4,Craig David
5IweeQZdY5XEzStLzUJG5t,Purple Pills,64,304506,True,Devils Night,2001-01-01,album,0.78,0.634,1,-5.941,1,0.16,0.0199,2.98e-05,0.29,0.754,125.25,4,D12
4nyTG4faxWrcECCW8ZYvol,Boy (I Need You),35,314826,False,Charmbracelet,2002-12-02,album,0.741,0.717,1,-7.08,1,0.0521,0.452,0.0,0.0739,0.748,84.993,4,"Mariah Carey, Cam'ron"
21BiIfA9vEMG4Y11o5ZdPU,Change (feat. Wale),33,201320,True,Love & War,2009-06-01,album,0.657,0.822,1,-4.902,1,0.0344,0.00882,0.000135,0.0719,0.776,98.421,4,"Daniel Merriweather, Wale"
